Base_Aircraft_ICAO,Base_Aircraft_Name,Airframe_Internal_ID,Airframe_Name,Registration,Fin_Number,Engines,Max_Passengers,OEW_kgs,MZFW_kgs,MTOW_kgs,MLW_kgs,Max_Fuel_kgs,Default_Cruise,Default_Climb,Default_Descent,Comments
BE60,Duke B60,BE60,Duke B60,N060SB,060,TIO-541,5,4195,6775,6775,6600,1212,,,,Default
BE60,Grand Duke,BE6G,Grand Duke,N061SB,061,TIO-541,5,4275,7000,7000,7000,1422,,,,Default
B60T,Turbine Duke,B60T,Turbine Duke,N062SB,062,PT6A-35,5,4553,7000,7000,7000,1595,,,,Default
BN2P,BN-2 Islander,3_1744422973544,BN-2 Islander,N002SB,002,O-540-E4C5,9,4114,6300,6600,6300,990,2400/26.0,105KTS,500FPM,Black Box Simulation (MSFS) - BN-2 Islander
C130,C-130K Hercules,3_1698842150552,C-130K Hercules,8TCA,847,T56-A-15,90,32800,54040,79380,70300,36593,,,,Lockheed C-130K Hercules [credit: KevinAviationHD]
C30J,C-130J Super Hercules,C30J,C-130J Super Hercules,N139SB,139,AE2100D3,92,89511,128500,164000,164000,85756,,,,Default
C160,Transall C-160,C160,Transall C-160,N160SB,160,RTY 20 MK522,93,66139,112436,112436,103617,52536,,,,Default
C17,C-17A Globemaster,C17,C-17A Globemaster,10-0223,00223,F117-PW-100,102,282500,477400,585000,585000,244800,,,,Default
C172,Cessna 172R,C172,Cessna 172R,N172SB,172,IO-360-L2A,3,1631,2450,2450,2450,336,,,,Default
C182,Cessna 182T,C182,Cessna 182T,N182SB,182,TIO-540-AK1A,3,1970,3100,3100,2950,522,,,,Default
C182,Cessna 182RG,R182,Cessna 182RG,N183SB,183,O-540-J3C5D,3,1805,3100,3100,3100,528,,,,Default
C208,Cessna 208B,C208,Cessna 208B,N017SB,017,PT6A-114A,8,4744,8500,8750,8500,2265,,,,Default
C212,C-212-200 Aviocar,492116_1781184569770,C-212-200 Aviocar,N434CA,330,TPE331-10R-513C,20,4553,7750,8900,10342,1696,ISC,NORMAL,1000FPM,Project MAX (MSFS) - C-212-200 Aviocar
C310,Cessna 310R,C310,Cessna 310R,N310SB,310,IO-520-M,5,3358,4900,5500,5400,980,,,,Default
C337,Cessna 337H,C337,Cessna 337H,N337SB,337,IO-360-GB,5,2655,4630,4630,4400,607,,,,Default
C404,C404 Titan,C404,C404 Titan,N404SB,402,False,9,4812,8400,8400,8100,3200,,,,Default
C408,Cessna 408,3_1736658831347,Cessna 408,N408SB,408,PT6A-65SC,19,12325,17000,19000,18600,4824,ISC,NORMAL,1000FPM,Carenado (MSFS) - Cessna 408 SkyCourier
C414,Cessna 414AW,C414,Cessna 414AW,N414SB,414,TSIOL-550A,7,4951,7105,7105,6750,1380,,,,Default
C46,Curtiss C-46D,3_1695002094702,Curtiss C-46D,C-FAVO,511,PW R-2800,3,30836,37136,45004,42753,7872,,,,Curtiss C-46D Commando [credit: KevinAviationHD]
C510,C510 Mustang,C510,C510 Mustang,N518SB,518,PW615F-A,5,5563,6750,8645,8000,2568,,,,Default
C525,Citation CJ1/M2,C525,Citation CJ1/M2,N524SB,524,FJ44-1A,7,7020,8400,10700,9900,3220,,,,Default
C525,Citation CJ1/M2,3_1779731353771,Citation M2,N526SB,526,FJ44-1AP-21,7,6990,8400,10700,9900,3296,MCR,CRUISE,2000FPM,Citation M2
